QID,Desired place name,Note
Q7637777,"Summit Bridge, Delaware, United States",
Q100251925,"Quindaro, Kansas, United States",
Q23635,Bermuda,
Q12897644,"Tarboro, Georgia",
Q85,"Cairo, Egypt",
Q340,"Montreal, Quebec, Canada",
Q23661,"Wellington, New Zealand",
Q1185346,"Demerara, Guyana","Not sure if this is appropriate - Demerara is a historic region within what is now Guyana, but it no longer exists as a geographic entity."
Q64,"Berlin, Germany",
Q7252270,"Prouts Neck, Maine, United States",
Q623241,"Waterloo, Sierra Leone",
Q1233173,"Dobbs Ferry, New York, United States",
Q56663,"Subic, Philippines",
Q1624192,"Hoima, Uganda",
Q463937,"St. Thomas, United States Virgin Islands",
Q103902354,"Olveston, Monterserrat",
Q675322,"Berbice, Guyana",
Q13353,Montserrat,
Q2003377,"Zombodze, Eswatini",
Q918126,Guyana,